Program,ParentProject,Project,StationCode,StationName,LocationCode,CommonName,FinalID,TissueName,TissuePrep,MatrixDisplay,Analyte,ResultType,Result,Unit,SampleYear,Region,TargetLatitude,TargetLongitude,TLAvgLength_mm,DataQuality,DataQualityIndicator,N_in_Avg,ND_in_Avg,DisplayText
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,207PLF001,Lafayette Reservoir_BOG,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.332587,ug/g ww,2008,2,37.88237,-122.14128,350,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,207PLF001,Lafayette Reservoir_BOG,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.166621,ug/g ww,2021,2,37.88237,-122.14128,350,Passed,,14,0,
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 EBRPD Fish Bioaccumulation Study 2013,204SLE100,Lake Chabot,NA,Bluegill,Lepomis macrochirus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.081,ug/g ww,2013,2,37.72062,-122.10636,129.6,Passed,,5,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20150FARI,Farallon Islands,NA,Gopher Rockfish,Sebastes carnatus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.289,ug/g ww,2009,2,37.70235815,-123.0300293,309.8,Passed,,5,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20151SMAC,Southern Marin Coast,NA,Barred Surfperch,Amphistichus argenteus,"whole without Head, Tail and Guts","Skin on, Scales Off",tissue,"Mercury, Total",Average of Composites,0.201,ug/g ww,2009,2,37.888443,-122.720843,206.38,Passed,,8,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20248PACC,Pacifica Coast,NA,Gopher Rockfish,Sebastes carnatus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.341,ug/g ww,2009,2,37.60257954,-122.5360977,302.8,Passed,,5,0,
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Lakes Sportfish Contamination Study 2004 2005,205LSG150,Lexington Reservoir,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.8,ug/g ww,2005,2,37.17349,-121.9856,340.67,Passed,,3,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,201ALPELK,Alpine Lake,NA,Bluegill,Lepomis macrochirus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.1385,ug/g ww,2016,2,37.94945,-122.62845,113.7,Passed,,9,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20151SMAC,Southern Marin Coast,NA,White Croaker,Genyonemus lineatus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.208,ug/g ww,2009,2,37.888443,-122.720843,235.8,Passed,,5,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20152TBAY,Tomales Bay,NA,Leopard shark,Triakis semifasciata,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,1.22,ug/g ww,2009,2,38.187871,-122.927284,1182.33,Passed,,3,0,
